dV,flux,anh_tb,anh_pot
1.737000,0.262700,-0.078832,-0.078882
1.737000,0.272800,-0.079304,-0.079359
1.737000,0.282900,-0.079807,-0.079868
1.737000,0.293000,-0.080343,-0.080410
1.737000,0.303100,-0.080913,-0.080988
1.737000,0.313200,-0.081522,-0.081603
1.737000,0.323300,-0.082169,-0.082260
1.737000,0.333400,-0.082860,-0.082959
1.737000,0.343500,-0.083595,-0.083705
1.737000,0.353600,-0.084379,-0.084500
1.737000,0.363700,-0.085215,-0.085348
1.737000,0.373800,-0.086107,-0.086252
1.737000,0.383900,-0.087058,-0.087218
1.737000,0.394000,-0.088073,-0.088249
1.737000,0.404100,-0.089157,-0.089350
1.737000,0.414200,-0.090315,-0.090528
1.737000,0.424300,-0.091553,-0.091787
1.737000,0.434400,-0.092878,-0.093135
1.737000,0.444500,-0.094295,-0.094578
1.737000,0.454600,-0.095814,-0.096125
1.737000,0.464700,-0.097441,-0.097784
1.737000,0.474800,-0.099187,-0.099564
1.737000,0.484900,-0.101061,-0.101477
1.737000,0.495000,-0.103075,-0.103533
1.737000,0.505100,-0.105240,-0.105746
1.737000,0.515200,-0.107570,-0.108129
1.737000,0.525300,-0.110080,-0.110698
1.737000,0.535400,-0.112786,-0.113470
1.737000,0.545500,-0.115707,-0.116464
1.737000,0.555600,-0.118862,-0.119701
1.737000,0.565700,-0.122274,-0.123205
1.737000,0.575800,-0.125967,-0.127001
1.737000,0.585900,-0.129968,-0.131119
1.737000,0.596000,-0.134308,-0.135590
1.737000,0.606100,-0.139021,-0.140451
1.737000,0.616200,-0.144143,-0.145740
1.737000,0.626300,-0.149716,-0.151503
1.737000,0.636400,-0.155787,-0.157790
1.737000,0.646500,-0.162406,-0.164656
1.737000,0.656600,-0.169632,-0.172163
1.737000,0.666700,-0.177527,-0.180383
1.737000,0.676800,-0.186163,-0.189392
1.737000,0.686900,-0.195619,-0.199281
1.737000,0.697000,-0.205982,-0.210149
1.737000,0.707100,-0.217353,-0.222111
1.737000,0.717200,-0.229840,-0.235295
1.737000,0.727300,-0.243566,-0.249850
