seed,flux,f01,f12,Ic,anharmonicity
2,0.656653,14.422958,14.231107,0.306975,-0.191852
2,0.707157,13.597298,13.395773,0.275720,-0.201525
2,0.757661,12.672103,12.463758,0.244276,-0.208345
2,0.808165,11.634884,11.429524,0.213170,-0.205359
2,0.858669,10.479213,10.300728,0.182964,-0.178485
2,0.909173,9.234116,9.121385,0.154316,-0.112731
2,0.959677,8.046224,7.996541,0.127942,-0.049683
2,1.010181,7.217542,7.059793,0.104652,-0.157749
2,1.060685,6.726453,6.282959,0.085418,-0.443494
2,1.111189,5.863633,5.115305,0.071698,-0.748328
2,1.161693,4.577572,4.924000,0.070040,0.346428
2,1.212197,4.992013,5.548947,0.077345,0.556934
2,1.262701,6.179321,6.209223,0.084085,0.029902
2,1.313205,7.146427,6.891539,0.089266,-0.254888
2,1.363709,7.841784,7.476642,0.092712,-0.365142
2,1.414213,8.329134,7.927018,0.094485,-0.402116
2,1.464717,8.655631,8.245174,0.094748,-0.410457
2,1.515221,8.850170,8.442354,0.093699,-0.407816
2,1.565725,8.930147,8.529044,0.091550,-0.401103
2,1.616229,8.905674,8.512799,0.088496,-0.392875
2,1.666733,8.781552,8.397741,0.084674,-0.383812
2,1.717237,8.557614,8.183849,0.080161,-0.373766
2,1.767741,8.227434,7.865142,0.075012,-0.362292
2,1.818245,7.774753,7.426330,0.069276,-0.348423
2,1.868749,7.167458,6.842793,0.062994,-0.324665
2,1.919254,6.363733,6.125668,0.056197,-0.238065
2,1.969758,5.473501,5.520620,0.050625,0.047118
2,2.020262,5.303478,5.429721,0.048176,0.126243
2,2.070766,6.187138,5.938571,0.046555,-0.248567
2,2.121270,7.118764,6.765144,0.046450,-0.353620
2,2.171774,7.781635,7.470131,0.053542,-0.311504
2,2.222278,8.235214,7.972984,0.064283,-0.262229
2,2.272782,8.544897,8.317461,0.073961,-0.227436
2,2.323286,8.749594,8.545219,0.082158,-0.204376
2,2.373790,8.871856,8.683253,0.088795,-0.188603
2,2.424294,8.925634,8.748696,0.093975,-0.176938
2,2.474798,8.920611,8.753244,0.097949,-0.167366
2,2.525302,8.864711,8.706047,0.101141,-0.158664
2,2.575806,8.765820,8.615678,0.104161,-0.150141
2,2.626310,8.633215,8.491682,0.107793,-0.141533
2,2.676814,8.478930,8.345877,0.112731,-0.133053
2,2.727318,8.318892,8.193259,0.119126,-0.125633
2,2.777822,8.173196,8.051958,0.126552,-0.121238
2,2.828326,8.064269,7.941449,0.134372,-0.122820
2,2.878830,8.011917,7.878695,0.141928,-0.133223
2,2.929334,8.026277,7.873192,0.148572,-0.153085
2,2.979838,8.102789,7.923328,0.153727,-0.179461
2,3.030342,8.223314,8.016282,0.156954,-0.207031
2,3.080846,8.362738,8.131754,0.158055,-0.230984
2,3.131351,8.496257,8.247354,0.157019,-0.248903
2,3.181855,8.603561,8.342932,0.153984,-0.260629
2,3.232359,8.669670,8.402548,0.149165,-0.267122
2,3.282863,8.683918,8.414496,0.142795,-0.269422
2,3.333367,8.638515,8.370419,0.135129,-0.268095
2,3.383871,8.527397,8.264352,0.126425,-0.263045
2,3.434375,8.345651,8.092065,0.116984,-0.253586
2,3.484879,8.089675,7.850766,0.107111,-0.238909
2,3.535383,7.758292,7.538797,0.097178,-0.219495
2,3.585887,7.354932,7.154137,0.087585,-0.200795
2,3.636391,6.889538,6.689065,0.078785,-0.200472
2,3.686895,6.373588,6.120295,0.071248,-0.253293
2,3.737399,5.798451,5.430035,0.065490,-0.368417
2,3.787903,5.180944,4.768439,0.062008,-0.412505
2,3.838407,4.875557,4.186274,0.061275,-0.689283
2,3.888911,5.080496,3.714682,0.063708,-1.365814
2,3.939415,5.421712,3.882178,0.069539,-1.539534
2,3.989919,5.756503,4.348096,0.078573,-1.408407
2,4.040423,6.061117,4.850490,0.090094,-1.210627
2,4.090927,6.319501,5.305883,0.103107,-1.013618
2,4.141431,6.522256,5.694384,0.116575,-0.827872
2,4.191935,6.666077,6.015620,0.129601,-0.650457
2,4.242439,6.751751,6.275278,0.141452,-0.476474
2,4.292943,6.782900,6.480729,0.151506,-0.302171
2,4.343447,6.765552,6.639387,0.159230,-0.126165
2,4.393952,6.708311,6.757926,0.164208,0.049616
2,4.444456,6.622866,6.841811,0.166220,0.218945
2,4.494960,6.524559,6.895019,0.165282,0.370459
2,4.545464,6.432511,6.920123,0.161627,0.487612
2,4.595968,6.368529,6.919066,0.155643,0.550537
2,4.646472,6.353889,6.894895,0.147796,0.541006
2,4.696976,6.403603,6.854191,0.138559,0.450587
2,4.747480,6.519473,6.808613,0.128421,0.289139
2,4.797984,6.685036,6.772578,0.117796,0.087542
2,4.848488,6.865388,6.754444,0.107096,-0.110944
2,4.898992,7.011303,6.741741,0.096701,-0.269562
2,4.949496,7.062158,6.684252,0.086995,-0.377906
2,5.000000,6.938736,6.475103,0.078359,-0.463633
3,0.000100,19.647449,19.522520,0.599491,-0.124930
